year,month,day,time,saying
2022,4,27,16,中原明子真的是梦想中的woman
2022,4,26,16,KFC Fxxking crazy Thursday Ohh yeah
2022,4,25,19,所以您的演唱会是又延期了吗1
2022,4,23,7,(๑•̀ㅁ•́ฅ)
2022,4,23,7,角松敏生作的曲真的太有感觉了
2022,4,23,21,万般皆下品，唯有厄德高
2022,4,23,21,扎卡远射破门！！！！！
2022,4,21,20,马丁内利上场！！！！！
2022,4,21,19,美丽足球，无孔不入，我的小破厂！！！！
2022,4,21,20,其实我想对某些不耐烦的枪迷说一声：这一支枪手的未来不可限量。拉卡泽特的前场防守干扰和做球，马丁内利和萨卡的交替跑动打身后，厄德高的关键跑动和得分能力，扎卡的中场控制，防线上加布里埃尔和怀特的防守和长传打身后。这支阿森纳具备着优秀球队的所有品质。PS:我最近才知道小破厂还有年年卖队长，年年保第四的传统
2022,4,19,15,还不戳
2022,4,16,9,真的，小破厂赢车子有种忽闻剑外收冀北的感觉
2022,4,13,21,米兰德比，米兰必胜！
2022,4,12,20,2场比赛录播，1场直播，4小时老头环，今天属实是摆烂了一整第一次觉得玩的好累 ，，，
2022,4,10,21,"And then I realized I lost it all,,,,,,,"
2022,4,9,18,江之永奕，不可方思。
2022,4,9,18,在学了记忆扭曲后我意识到，我可能早就把你的样子忘了，只是我在一直脑补成我期望的样子
2022,4,5,23,哇，小破厂输布莱顿，，热翔你也输一个吧，别没4找4，
2022,4,5,10,诶，这水怎么没有味道？，，哦，可能是因为兑了太多水的原因吧
2022,4,5,19,春江潮水连海平，海上明月共潮生。这个时候来一首湖北编钟乐团的《春江花月夜》真是享受，
2022,4,4,18,三场心理学考试和两场德育原理都没压垮的我，被一个两分钟的400米征服了
2022,4,3,9,哇，小破厂输水晶宫热刺球员集体滑跪
2022,4,1,22,作为神秘海域系列的老粉，除了对内森的演员形象有些不满意外（阿汤哥演绝对神，荷兰弟也不错）。这部以神秘海域为IP的寻宝类电影还是很不错的。介于电影的表现形式，神秘海域宏大的历史背景不可能做到百分百还原。因为顽皮狗公司在神秘海域系列的各个作品中加入了很多电影的要素，所以真的会有一种游戏 展开全文
2022,3,31,10,“一个制度的死亡跟一个人的死亡是有很大区别的，一个人的死亡是棺材板上钉钉的事，而一个制度只会在人们的心里腐烂。”不想多说什么，只是从内心感到悲伤。
2022,3,31,8,怎么能在我享受直子专辑的时候点我，当然是继续听
2022,3,29,10,在雨中       汪峰
2022,3,28,1,校方在家长发现问题后竟然威胁家长想把事情压下来，校方的高层领导居然在家长们的抗议下使用“碰瓷大法”。你说我这个大冤种为什...
2022,3,23,20,子择，我想你了，你个混蛋
2022,3,22,21,一股泡沫味
2022,3,20,19,解封了回车站那里去瞧瞧
2022,3,18,19,蜉蝣之羽，衣裳楚楚。心之忧矣，于我归处？蜉蝣之翼，采采衣服。心之忧矣，于我归息？蜉蝣掘阅，麻衣如雪。心之忧矣，于我归说...
2022,3,18,11,能让我聚精会神干18个小时的估计只有生化危机系列了吧
2022,3,16,22,这首蒸汽波也好棒
2022,3,15,10,"在整理Alan watts先生的电视演讲稿时发现了一个很好玩的句子“If purpose can be used to achieve purposelessness, then the thing that has been grasped.”这句话的翻译是如果一个人有意地去追求无目的，那么他就得道了。 但是这是一句从古籍中摘录的一句话。那么 ，，，这句话到底源于那里"
2022,3,13,13,xswl
2022,3,13,21,发誓舍命守护的那个人，也许只是心中脆弱的自己
2022,3,13,20,emmmm
2022,3,10,11,在远方。 ：又是发这个图的时候了                  来自 三星Galaxy S21+
2022,3,10,11,怎么说呢，一个拜亚铁粉在听完第一个木碗后就开始动摇了
2022,3,9,23,喝醉了靠在柳树边上，静静地感受微风慢慢地吹着，以为柳枝在抚着脸颊，结果只是因为她赶不走我
2022,3,7,19,阿布要求切尔西的下家依然能保持切尔西的竞争性。就是这样的一个用热爱支撑切尔西近19年的男人，如今却要落寞离场。总是在抱怨着这世间的种种，这一次我还就是不信这个邪了。你扑不灭切尔西的火，我现在就是要陪切尔西走出来！
2022,3,4,0,不要因为花会凋谢就点根红蜡烛照她，花不喜欢
2022,3,3,20,还是蛮喜欢喝酒的
2022,3,2,22,回去站那儿站了一会儿，还是不要去对面搭公交车了吧，天给我的美好有1年，够了
2022,3,2,8,Good Bye Boogie Dance       杏里
