year,month,day,time,saying
2022,4,23,21,我说寄拍肩礼邮费我真的好伤呜呜
2022,4,22,23,和平分开一段时间 不知道多久道不同 分歧难免无论如何个体还是合体 都希望能够更好
2022,4,20,20,这种天气是真的令我又困又烦
2022,4,19,23,你以为什么是人性呢
2022,4,18,9,我的猫坐在书桌上她的小垫子里参瞌睡现在已经睡着啦好乖好乖我都不敢动了，这也太可爱了吧！！！
2022,4,16,19,上帝给国超开了脸的门，却给他关了身高的窗唉
2022,4,16,21,他一生无愧于天下，却终究还是在权谋的游戏中中落得一个叛贼的罪名剔骨之刑，行刑三个时辰，他无一声哀嚎。
2022,4,15,19,如今可以回头看了，吴邪同志
2022,4,14,18,《三日寂静 吴邪短篇》 那是一个很寂静的夜晚，记不清已经是第多少次这样安静的站在窗边了，也许，是第三天吧。 我将烟缓缓从嘴边拿开，按灭在上师为我准备的烟灰缸里，烟雾一圈圈散开，窗外是同我一样凝思着的雪山，不远处住持带着几位僧人在念佛堂里念经。香炉里的烟，追寻着从我身边散走的烟，怎么，这里的你，却是在追逐着我。 僧人的木鱼，是敲得甚是好听的。这座古老的寺庙在朦胧夜雾的笼罩下，像一幅飘在浮云上面的剪影 展开全文
2022,4,4,22,关于明天停课我今天只带了一张卷子回来
2022,4,3,22,浅放两张老婆美照，我真的会爱
2022,3,28,16,小猫咪终于愿意窝在我怀里睡觉啦耶还打呼噜！好软好暖和就是好重耶！！
2022,3,24,20,“我真的属于这里吗?”“风有约，人不误，岁岁如此，永不相负。”出境：顾九沫 摄影：bluesky 拍摄地点：武汉园博园
2022,3,22,22,为了自己的未来，我说这接下来一年半怎样辛苦都不为过吧
2022,3,13,20,我的猫真的很乖耶！她会在我上厕所的时候趴在门口等我耶！！
2022,3,12,22,陶白白
2022,3,12,22,救命！勾引到我啦小菜猫也很可爱耶！！
2022,3,11,17,不会只有我在换季过敏脸泛红吧呜呜呜呜
2022,3,8,12,“那时候心比天高，围墙怎么困得住我”
2022,3,7,15,真的很想尝尝小猫咪的零食是什么味道！！闻起来真的很香诶
2022,3,6,7,关于我还在梦中被班主任狂叫且嗓子哑掉了
2022,3,5,21,我宣布 李先生花园&鼠尾草完胜！！
