year,month,day,week_day,time,saying,like
2022,5,2,0,20,逐渐离谱/1923733143/2562140457/3371978249,"['/1923733143', '/2562140457', '/3371978249']"
2022,5,2,0,19,才执黑子一步 留白岁月书落笔字字围堵 似人间无路你问流云吻风 它可有城府欲念神工鬼斧 养众生无数/1936588711/274255488/2562140457/3371978249/112120116/507392868/583204551/641547841/773520155/867526981/914188023/1065676704/1178923557/1203939060/1294002190/1300353239/1446429803/1658204843/1658631743/1772850521,"['/1936588711', '/274255488', '/2562140457', '/3371978249', '/112120116', '/507392868', '/583204551', '/641547841', '/773520155', '/867526981', '/914188023', '/1065676704', '/1178923557', '/1203939060', '/1294002190', '/1300353239', '/1446429803', '/1658204843', '/1658631743', '/1772850521']"
2022,4,27,2,19,我和这个世界不熟。这并非是我安静的原因。我依旧有很多问题，问南方，问故里，问希望，问距离。我和这个世界不熟。这并非是我绝望的原因。 展开全文/1936588711/274255488/2314731159/2562140457/361737552/395446307/507392868/824254359/867526981/948730741/963885970/1178923557/1203939060/1239111735/1263004930/1294002190/1294931710/1300353239/1328902511/1430651036,"['/1936588711', '/274255488', '/2314731159', '/2562140457', '/361737552', '/395446307', '/507392868', '/824254359', '/867526981', '/948730741', '/963885970', '/1178923557', '/1203939060', '/1239111735', '/1263004930', '/1294002190', '/1294931710', '/1300353239', '/1328902511', '/1430651036']"
2022,4,9,5,17,夏天/1936588711/274255488/2562140457/112120116/395446307/507392868/521193421/641547841/791449672/867526981/963885970/1024885387/1026318755/1037759814/1062216989/1172833271/1203939060/1256644377/1263004930/1294002190,"['/1936588711', '/274255488', '/2562140457', '/112120116', '/395446307', '/507392868', '/521193421', '/641547841', '/791449672', '/867526981', '/963885970', '/1024885387', '/1026318755', '/1037759814', '/1062216989', '/1172833271', '/1203939060', '/1256644377', '/1263004930', '/1294002190']"
2022,4,9,5,14,当事人已经热傻了(º﹃º )/1936588711/2562140457/112120116/361737552/395446307/507392868/731416062/794325104/867526981/963885970/1026318755/1037759814/1172833271/1175325399/1203939060/1239111735/1290293208/1294002190/1323876250/1379736415,"['/1936588711', '/2562140457', '/112120116', '/361737552', '/395446307', '/507392868', '/731416062', '/794325104', '/867526981', '/963885970', '/1026318755', '/1037759814', '/1172833271', '/1175325399', '/1203939060', '/1239111735', '/1290293208', '/1294002190', '/1323876250', '/1379736415']"
2022,3,1,1,16,干饭干饭干饭/1936588711/879380968/2562140457/3371978249/361737552/380994454/507392868/731416062/773520155/963885970/1037759814/1172833271/1175325399/1178779159/1178923557/1203939060/1229818518/1274624384/1294002190/1379736415,"['/1936588711', '/879380968', '/2562140457', '/3371978249', '/361737552', '/380994454', '/507392868', '/731416062', '/773520155', '/963885970', '/1037759814', '/1172833271', '/1175325399', '/1178779159', '/1178923557', '/1203939060', '/1229818518', '/1274624384', '/1294002190', '/1379736415']"
2022,2,13,6,9,今年也要认真学习耶耶耶耶(ง •̀_•́)ง/1936588711/2562140457/149992601/157784719/347236681/361737552/507392868/895856477/914188023/963885970/1037759814/1062216989/1203939060/1229818518/1263004930/1294002190/1345712008/1351713876/1403660787/1446429803,"['/1936588711', '/2562140457', '/149992601', '/157784719', '/347236681', '/361737552', '/507392868', '/895856477', '/914188023', '/963885970', '/1037759814', '/1062216989', '/1203939060', '/1229818518', '/1263004930', '/1294002190', '/1345712008', '/1351713876', '/1403660787', '/1446429803']"
2022,1,29,5,18,关于一对长的很潦草的猫和狗/1936588711/2562140457/157784719/215196256/361737552/914057041/948730741/963885970/971349730/1037759814/1062216989/1229818518/1263004930/1263566747/1286817060/1294002190/1295435751/1345712008/1397647274/1403660787,"['/1936588711', '/2562140457', '/157784719', '/215196256', '/361737552', '/914057041', '/948730741', '/963885970', '/971349730', '/1037759814', '/1062216989', '/1229818518', '/1263004930', '/1263566747', '/1286817060', '/1294002190', '/1295435751', '/1345712008', '/1397647274', '/1403660787']"
2021,12,11,5,21,幸せ@滅亡迅雷.net—阿金｀  @ぬ①坊ぜ嬌愾  @Ash辉  /1936588711/274255488/737630259/879380968/2024693599/2562140457/112120116/215196256/361737552/507392868/521193421/791449672/867526981/895856477/948730741/963885970/1026318755/1037759814/1178923557/1206688144,"['/1936588711', '/274255488', '/737630259', '/879380968', '/2024693599', '/2562140457', '/112120116', '/215196256', '/361737552', '/507392868', '/521193421', '/791449672', '/867526981', '/895856477', '/948730741', '/963885970', '/1026318755', '/1037759814', '/1178923557', '/1206688144']"
2021,12,3,4,20,谢谢你，温暖我！！！/1936588711/274255488/737630259/763277047/1923733143/2562140457/3371978249/347236681/507392868/963885970/971349730/1026318755/1037759814/1062216989/1065676704/1203939060/1229818518/1250821524/1263004930/1294002190,"['/1936588711', '/274255488', '/737630259', '/763277047', '/1923733143', '/2562140457', '/3371978249', '/347236681', '/507392868', '/963885970', '/971349730', '/1026318755', '/1037759814', '/1062216989', '/1065676704', '/1203939060', '/1229818518', '/1250821524', '/1263004930', '/1294002190']"
2021,11,11,3,20,治疗是医方与患者的互动，医疗常常被视为一种合同。签字是证明医院履行了相关告知义务并获得患者同意的书面证据。紧急情况下依旧应当遵守法律。——肖志军案/1936588711/2562140457/2835857322/112120116/361737552/507392868/821007900/867526981/914188023/963885970/971349730/1062216989/1203939060/1263004930/1294002190/1300353239/1379736415/1446429803/1603124709/1658631743,"['/1936588711', '/2562140457', '/2835857322', '/112120116', '/361737552', '/507392868', '/821007900', '/867526981', '/914188023', '/963885970', '/971349730', '/1062216989', '/1203939060', '/1263004930', '/1294002190', '/1300353239', '/1379736415', '/1446429803', '/1603124709', '/1658631743']"
2021,11,8,0,7,千万不要走这个桥摔死我了嘤嘤嘤/1936588711/274255488/879380968/2024693599/2562140457/3117456526/3187056027/112120116/210178012/215196256/361737552/445805428/507392868/521193421/791449672/821007900/824254359/963885970/971349730/1026318755,"['/1936588711', '/274255488', '/879380968', '/2024693599', '/2562140457', '/3117456526', '/3187056027', '/112120116', '/210178012', '/215196256', '/361737552', '/445805428', '/507392868', '/521193421', '/791449672', '/821007900', '/824254359', '/963885970', '/971349730', '/1026318755']"
2021,11,7,6,7,下雪了冷啊啊啊啊啊想回武汉了/1936588711/274255488/737630259/879380968/1923733143/2024693599/2562140457/2835857322/3187056027/3249146998/3371978249/112120116/347236681/361737552/384030311/445805428/507392868/616093498/791449672/935748228,"['/1936588711', '/274255488', '/737630259', '/879380968', '/1923733143', '/2024693599', '/2562140457', '/2835857322', '/3187056027', '/3249146998', '/3371978249', '/112120116', '/347236681', '/361737552', '/384030311', '/445805428', '/507392868', '/616093498', '/791449672', '/935748228']"
2021,10,31,6,19,万圣节快乐二班yyds感谢大哥@我爱干饭  /274255488/763277047/2314731159/2562140457/361737552/507392868/583204551/731416062/821007900/867526981/895856477/948730741/971349730/1010374076/1026318755/1037759814/1062216989/1184390111/1203939060/1206688144,"['/274255488', '/763277047', '/2314731159', '/2562140457', '/361737552', '/507392868', '/583204551', '/731416062', '/821007900', '/867526981', '/895856477', '/948730741', '/971349730', '/1010374076', '/1026318755', '/1037759814', '/1062216989', '/1184390111', '/1203939060', '/1206688144']"
2021,10,22,4,9,每次路过都被吓到╭( ๐_๐)╮/879380968/2024693599/2562140457/112120116/347236681/421349439/824254359/963885970/971349730/997854664/1010374076/1026318755/1037759814/1062216989/1178923557/1294002190/1300353239/1301784671/1390604255/1446429803,"['/879380968', '/2024693599', '/2562140457', '/112120116', '/347236681', '/421349439', '/824254359', '/963885970', '/971349730', '/997854664', '/1010374076', '/1026318755', '/1037759814', '/1062216989', '/1178923557', '/1294002190', '/1300353239', '/1301784671', '/1390604255', '/1446429803']"
