year,month,day,time,saying
2022,4,26,17,
2022,4,23,22,感谢大哥们和校队大佬的支持然而明早八点微积分考试(带了假发是吧
2022,4,18,12,
2022,4,14,16,急死我得了（无恶意）
2022,4,10,20,在一个校公众号上拿下了一天的运营权，现在正在考虑投放一些艺术鉴赏的介绍（v，二次元也行儿） 不知道有没有兄弟姐妹推荐捏（要考虑风评和正能量哦）
2022,4,6,12,麻花阿 麻花的热量是多少让我们看下配料表
2022,4,5,2,@L1_Sta2
2022,4,4,22,无处不飞花飞的都是 花
2022,3,24,15,草 乍看这文件名还以为要教兄弟们干一些不得了的事情
2022,3,14,23,蚊帐 严实了人不方便 不严实人家方便 进来一个就整成罗马斗兽场 四害吸血鬼怎么还不死阿这里是拆那该滚的是你门
2022,3,12,12,
2022,2,27,22,两天前不知道掉路上哪去了结果今天找到了@万梓豪
2022,2,26,15,倒计一佰日
2022,2,24,20,这算什么
2022,2,23,21,"""我以为我的父母并不相爱 直到一天我的母亲兴高采烈地带回了一卷新鲜的菜薹 那天的父亲正好中了五元的彩票""​比翼连理 不过柴米油盐耳"
2022,2,22,22,捏麻麻地没蹲到二二二二的点
2022,2,21,21,浅跑一下八助力中国队决赛胜利
2022,2,20,23,观前提醒：本说说不是号主操作只是这宋朝开国三皇实在是太典了是不是比赛倒计时环节了
2022,2,17,16,开始坐牢
2022,2,7,13,
2022,2,1,1,多年以后他会回想起那个下午被人潮裹挟着一个刚考完生物的做题家 展开全文
2022,1,13,19,幼儿园小孩撒两张卡片都比你浪漫
2022,1,12,7,騰蛇。
2022,1,11,13,c语言=哈姆，哈姆，哈姆，哈姆的哈的贝哈姆哈姆的的哈贝贝，哈姆的哈的贝哈姆哈姆的哈贝贝，哈姆，哈姆，古莫德那德米列洛姆，古莫德那德米列洛玛，古莫德那德米列洛玛，阿珂么德哈马迪，阿珂么德哈马迪，哈姆，哈姆，哈姆，哈姆的哈的贝哈姆哈姆的的哈贝贝，哈姆的哈的贝哈姆哈姆的哈贝贝，哈姆，哈 展开全文
2022,1,5,16,英语和投三分的区别就在于后者好歹能中两个
2022,1,3,14,予微积分以考试就像给断臂维纳斯接上了欧内的手有人试图吻她的手 然后吃了一嘴的汗
2022,1,1,21,这就是豆奶（）
2021,12,31,18,
2021,12,29,19,多年以后，鼠鼠仍会回想起那个下午，打开鼠试安排，明目张胆地看见了一月二日的鼠文考试他兴高采烈地穿上西装，把闹钟调到早八，准备去上最后一节鼠文课却被告知，再也没有什么鼠文课了确实。课表上的那一块，徒然空了出来鼠鼠有些失望，他暗地里对去上鼠文课的次数求了个极限，发现是零啊，那就是没有上过鼠文课的鼠鼠去考鼠文的试 展开全文
2021,12,27,12,#查询成分
2021,12,23,0,树芽抬头发现本以为只照着他的月亮也照着别人，于是心生嫉妒，低头发誓再也不看月亮而他们终于牵上手，梵高穿越，画下星空
2021,12,21,12,宣布：21级才是光电那啥队的主人
2021,12,20,23,有楞过生日梓神？梓宝!
2021,12,19,0,见过十二年江的孩子终于在此时此刻见到了江枯
2021,12,13,21,"我是什么铸币啊电驴叫""主人，我快没电了，请换一辆车还没意识到事情严重性然后在一个上坡彻底熄火了 展开全文"
2021,12,13,1,一个数字，一只眼睛。极脆弱的，生前在黑色的血夜里被敲碎，死后在消费的狂欢里被消解。
2021,12,10,22,来点黄白配@杜松子酒  @黑暗少女  @第14杯橘子海盐汽水
2021,12,7,19,"""那么，你是什么动物啊""""啊，我似楞呐""然后是腾子的讲座"
2021,12,7,12,你不经意间的飞走 我的生活黯淡无光还我电驴
