year,month,day,time,saying
2022,4,28,0,武汉市第四中学校园VR全景       “博学”源自《论语•雍也》：“君博学于文，约之以礼。1899年，英国基督教伦敦会牧师杨格非创办博学书院，是乃武汉市第四中学前...
2022,4,26,10,哈哈，我们是冠军！！@13班
2022,4,22,9,"Ever tried, Ever failed.No matter.Tried again, fail again, fail better.——Samuel Becket"
2022,4,19,16,我觉得我冲出教室的速度已经是非常快了，依旧看不到抢到排核酸前排的希望（恼）
2022,3,25,9,要是能重来，高考那个暑假我再也不会摆烂
2022,3,15,20,在家调戏猫咪的视频
2022,3,8,7,有时候真的不是我想我的身体被床死死抓住被被子死死抓住下次一定
2022,1,17,12,让不让装逼？
2022,1,16,19,活力中年人
2022,1,1,11,2022年辣，要好好锻炼，好好学习，好好睡觉袄，米娜桑！
2021,12,13,8,Mē Amasne? ：                  来自 iPhone (4G)
2021,12,3,22,某不知名辅助 ：祝方儒同学生日快乐                  来自 iPhone (4G)
2021,12,1,18,好吃且好喝
2021,11,26,21,去认识新的人，看看别人的生活。反思，你到底有些什么，能载你穿过时代的激流。
2021,11,25,21,有个声音一直在我脑子里喊着“你该去做这个，你该去做那个。”今天，我把它绑在落叶上被风吹不见了。
2021,11,7,12,冬天的第一杯奶茶是讨来的屑
2021,11,2,12,武汉你这11月份的太阳咋不热死我呢
2021,11,2,6,全是大学考试资料 bot ：军.事.理.论考试，如何30分钟交卷走人，考的东西基本不会变，转给需要的人吧                                  7                            来自 iPhone (4G)
2021,10,22,19,躺平了一天的最后当然是撸铁啦（周围都是大佬我超）
2021,10,22,9,运动会的早晨，从校内影院的躺平开始
2021,10,21,19,一线天 都 没 我 裂 得 开
2021,10,21,13,祝我好运
2021,10,16,11,今天也是学习的一天（打完lol后的负罪感）
2021,10,13,15,停练两周后的第一次
2021,10,11,23,你这提速也真是绝得一匹，我好歹氪金了吧，能不能有点用啊
2021,9,15,0,主子，你看看现在几点了，还要玩啊，放我去睡吧
2021,9,11,16,
2021,9,3,18,最终还是要被你折磨@高中数学
2021,8,21,18,太真实了
2021,7,27,9,《狂欢之后》
2021,7,26,21,谢谢伙汁们的礼物（脱毛膏？？一块香皂、超好吃的巧克力糖、三本书加一封信、以及99元传说级别vn光明哨兵主线故事新皮肤）带伙汁们去看电影和密室，密室里真鬼给爷直接吓懵了卧槽。今天玩得超开心感谢有你们哈哈哈哈哈今天偷拍得太模糊就不发出来了（草太仓促了）
2021,7,26,0,爷18辽，与此同时今天要遛遛6个小可爱@寒慕 @昨夜风 @太阳花** @阳树 @Bi8bo @chasm
2021,7,24,22,明天就要去遛一遛咱家的三只小@洛城东. @默雪 @白茶
2021,7,22,15,请问你要热死我吗
2021,7,22,9,谢谢你，@Renard
2021,7,15,15,@阳树 中国医生
2021,7,14,17,生日礼物还就那个提前到达
2021,6,26,10,梦回初中
2021,6,14,10,没想到，当生物课代表学会的分卷子，当助教的时候能用上
2021,6,6,22,加 把 劲 骑 士
2021,6,6,17,最后亿次
2021,6,5,20,路灯旁，球框下，桐树边，微风里，留下不回头的身影。
2021,5,1,13,一 角
2021,3,19,23,好活，就是有点烂
2020,12,10,23,@元中歌 啪一下就18岁了，很快啊！牟同学不知不觉就成年了，变成又高又帅气的阳光“男人”了哈哈哈。我文采不咋地，只能说，希望你能在最美好的年纪，奏响最振奋、最猛烈的交响乐！
2020,12,9,20,迟早有天趁数学不注意给他来一棒槌
2020,11,29,18,@Bi8bo
2020,11,28,12,中饭有蒜蓉虾，太香了，爷青结。
2020,11,27,12,这波是什么？这波是一锅乱炒。
2020,11,25,23,是这样的
2020,11,12,17,幵
2020,10,22,23,夜空中的一颗星星过于闪耀的时候，你会失去观察更广阔星河的机会；当这颗星星离开你的视野围绕着其他的星河旋转时，你会丢失欣赏其他微弱星光的能力。不要过于在意某一颗为你闪耀过的星星，不要过于追逐已远去的星星，因为你还有不止这一颗星的夜晚，还有无尽的时间。
2020,10,13,22,有些东西当时觉得很不彳亍，失去的时候才倍感想念，比如吉野家的饭（草）。
2020,10,3,9,很好，很有精神！
2020,9,26,18,浅仓威手里的王蛇权杖 ：？？？？？                  来自 nova 7 (4G)
2020,9,18,23,我认为的人生圆满，在于你是否拥有一个精神支柱，它既可以是一句话、一两本书，更可以是牵挂的人、喜欢的人。彼时，即使走向生命尽头，当你回想起它时，总能得到几分力量、几分盼头，而不仅仅徒感遗憾。
2020,9,9,11,草，炸了
2020,9,8,18,全是傻逼图 ：如果你看到了熊猫，赶紧转，明天会有好事发生 没有你来打死我                  来自 nova 7
2020,9,8,16,概率？？求你考统计谢谢。
2020,9,6,8,沙雕网友。 ：九月急需好运                  来自 nova 7 (4G)
2020,9,1,20,这9月考，不考也罢！
2020,8,29,20,B站：纯路人茉日天 ：给爷整笑了                  来自 nova 7 (4G)
2020,8,24,22,众所周知，歹乇要到了
2020,8,21,21,过蒙拔擢，宠命优渥，岂敢盘桓，有所希冀
2020,8,15,11,@子安  感谢有钱人
